tokenizer,seed,test_f1,robustness_f1,backbone
baseline,13,0.8322523881347411,0.6993892931973427,XLM-R
baseline,42,0.7815162907268169,0.6407239819004525,XLM-R
baseline,77,0.8418128654970761,0.6661963165833135,XLM-R
baseline,101,0.7824233283056812,0.7092522974101921,XLM-R
baseline,256,0.853111111111111,0.7162313673822626,XLM-R
hybrid,13,0.8855555555555554,0.728667235009946,XLM-R
hybrid,42,0.816161943319838,0.7118421052631578,XLM-R
hybrid,77,0.8422978981802511,0.5966236670106639,XLM-R
hybrid,101,0.7406862745098038,0.686843137254902,XLM-R
hybrid,256,0.7082633053221288,0.7306510482981071,XLM-R
baseline,13,0.7449999999999999,0.6482693947144075,MuRIL
baseline,42,0.7681318681318682,0.5965993057510086,MuRIL
baseline,77,0.7937908496732027,0.674120082815735,MuRIL
baseline,101,0.7787543859649123,0.6835042735042736,MuRIL
baseline,256,0.7429841269841269,0.578047815617475,MuRIL
hybrid,13,0.8219415878239408,0.6413017838714433,MuRIL
hybrid,42,0.8084795321637426,0.6786291486291486,MuRIL
hybrid,77,0.7119523809523809,0.5521256038647342,MuRIL
hybrid,101,0.7497777777777778,0.7505555555555554,MuRIL
hybrid,256,0.8149051241156504,0.6202240896358544,MuRIL
